Node,X,Y,Kgroup,LGroup,Distance
134,124.343,108.3047,10,71,4.07309949085849
135,119.482425,109.9447,10,71,1.2284296331192
136,172.792675,137.6883,11,84,0
137,130.5214,153.1061,5,24,0.143713226274593
138,353.058825,158.0964,13,98,0
139,260.787425,152.8789,14,101,4.80161498970342
140,225.1224,156.5171,14,99,0.202245716889139
141,97.76944,159.5578,15,105,2.77095518707215
142,101.3143,106.4338,10,73,5.17681681968747
143,98.83796,120.3183,15,108,4.45977271917807
144,96.74814,143.7357,15,107,4.11616586302581
145,94.7106,101.52,10,73,3.0844983507014
146,114.41708,124.8391,15,74,2.24041910535528
147,328.61956,130.6186,12,89,5.21476106598661
148,118.71934,119.7758,10,74,6.45688217487055
149,266.55672,152.228,14,101,1.39776265367292
150,91.08484,115.9299,15,108,4.45115126306947
151,164.4886,120.2963,11,83,3.44869464212186
152,100.33896,126.7581,15,106,6.20372684728023
153,118.4492,150.1294,15,109,0.958663144383894
154,102.08362,136.229,15,106,3.49236239435329
155,101.86388,137.8958,15,106,5.15948977006308
156,119.46296,151.7568,15,109,0.958663144383869
157,160.47944,170.5015,11,85,0
158,227.60262,184.9535,14,103,3.88559572275926
159,132.29074,134.6535,11,86,0
160,185.29142,136.0113,9,65,0
161,182.5768,123.4959,9,66,0
162,245.71446,111.9946,4,17,4.93972336278744
163,267.02832,125.318,4,19,1.98675918241402
164,143.2667,87.5323,10,75,0
165,116.17895,76.8439,10,76,0
166,150.3088833,149.3617,11,79,3.32335330974901
167,97.33005,77.3484,10,77,0
168,148.83425,183.5723,5,31,6.27424689037212
169,121.1131167,182.7697,5,30,3.17791566321387
170,231.1232667,105.8876,4,22,0
171,143.0941667,188.0254,5,31,3.75790057394845
172,161.3999833,111.5303,11,87,0
173,220.6539571,84.0816,4,23,0
174,141.0558286,125.9404,11,82,5.74407186736214
175,126.5575857,174.2109,5,27,1.22801212975489
176,139.2404429,182.8008,5,31,3.68094164681788
177,139.2404429,182.8008,5,31,3.68094164681788
178,170.6958286,100.8463,9,67,0
179,118.5644125,110.0274,10,71,2.02033556425591
180,114.51955,167.8202,5,32,0
181,108.761625,106.1534,10,69,1.95009870291509
182,135.332075,104.9738,10,68,0.672981436013505
183,209.4327625,171.7985,14,104,0
184,138.1321111,99.9023,10,68,5.17392576893402


LGroup,Counter,AvgDistance,�зǮt
0,2,0.485699447317965,0.696921406844391
1,2,4.19541071201619,2.04827017554233
2,1,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
9,1,0,0
10,1,0,0
11,1,0,0
12,1,0,0
13,2,0.00620987117416584,0.0788027358291947
14,1,0,0
15,2,4.89967567031147,2.2135211022964
16,1,0,0
17,4,4.36187916865156,2.74477275891369
18,1,0,0
19,3,2.78545813600914,1.88002488821331
20,1,0,0
21,1,0,0
22,1,0,0
23,1,0,0
24,2,0.143713226274593,0.379095273347733
25,1,0,0
26,1,0,0
27,2,1.22801212975488,1.10815708712929
28,1,0,0
29,2,1.88584544570658,1.37326088042534
30,2,3.17791566321386,1.78267093520197
31,4,4.34850768948908,2.36339839190077
32,1,0,0
33,1,0,0
34,2,2.30480273017024,1.5181576763203
35,1,0,0
36,1,0,0
37,1,0,0
38,1,0,0
39,1,0,0
40,1,0,0
41,2,1.69846689693968,1.30325243024507
42,1,0,0
43,2,4.13553632744593,2.03360181142866
44,1,0,0
45,3,5.13609692510598,2.29178016728004
46,2,4.7511961489776,2.17972386989215
47,1,0,0
48,2,3.89556601792344,1.97371882950015
49,1,0,0
50,1,0,0
51,1,0,0
52,1,0,0
53,1,0,0
54,1,0,0
55,1,0,0
56,2,3.57892256167967,1.89180404949341
57,2,3.26522447811785,1.8069932147404
58,1,0,0
59,1,0,0
60,1,0,0
61,1,0,0
62,1,0,0
63,1,0,0
64,1,0,0
65,1,0,0
66,1,0,0
67,1,0,0
68,3,3.47228815431827,2.7296782837769
69,3,2.33534284409206,1.71331901503455
70,1,0,0
71,4,2.264823419791,1.85345537473313
72,3,3.77036269008486,2.07698595153857
73,3,3.48958878935768,2.24525275948141
74,5,3.40715414004513,2.59929564330609
75,1,0,0
76,1,0,0
77,1,0,0
78,2,1.62459080078746,1.27459436715665
79,2,3.32335330974901,1.82300666749988
80,1,0,0
81,3,1.92303740614456,1.61886683332607
82,3,4.4815439478424,2.32444780721003
83,2,3.44869464212185,1.8570661383273
84,1,0,0
85,1,0,0
86,1,0,0
87,1,0,0
88,3,3.20657172885282,2.11933668940244
89,3,5.18962123251098,2.46413624023519
90,2,1.98096966555075,1.40746924142262
91,1,0,0
92,1,0,0
93,1,0,0
94,1,0,0
95,1,0,0
96,1,0,0
97,1,0,0
98,1,0,0
99,2,0.202245716889139,0.449717374457714
100,1,0,0
101,3,3.41264965350725,2.35362990695856
102,1,0,0
103,2,3.88559572275924,1.97119144751575
104,1,0,0
105,4,1.90391757625226,1.67334753331588
106,7,3.90529883324982,2.48456050446144
107,4,2.42999275140192,2.06441791422869
108,4,4.79147509518866,2.2152013742661
109,2,0.958663144383881,0.97911344816823
110,3,3.86681208028208,2.64000201559399
